Study,ParticipantID,Hours,Prop_Meaningful,Prop_Distant,Prop_TV,Prop_Noise,Prop_Silence,AWC_Hourly,CTC_Hourly,CVC_Hourly
TimePoint1,023L,14.6413888888889,0.0720370335236867,0.140943671858696,0.272306437230833,0.0210969663624808,0.493615891024303,385.141057504411,19.465366445958,96.1657401961714
TimePoint1,024L,15.2202777777778,0.217710291460588,0.454875622798533,0.112879382402862,0.0260069716934645,0.188527731644553,1244.06402277663,62.3510302410892,243.490956874053
TimePoint1,025L,9.81277777777778,0.21706391892657,0.299807507218479,0.192238011662798,0.0210043593953462,0.269886202796807,1560.82205740814,33.9353450716186,133.39749759384
TimePoint1,028L,5.37388888888889,0.0687480616148041,0.0639408663289569,0.742944277886902,0.00734001860849788,0.117026775560839,293.456011578621,23.2606223508736,98.6250387677039
TimePoint1,029L,16,0.178888888888889,0.348489583333333,0.140399305555556,0.0247395833333333,0.307482638888889,1075.375,31.4375,126.5625
TimePoint1,030L,16,0.198923611111111,0.180121527777778,0.110364583333333,0.0127256944444444,0.497864583333333,1219.3125,57.4375,254.4375
TimePoint1,031L,13.4461111111111,0.203425195223733,0.146799983473123,0.147977523447507,0.0141717968846837,0.487625500970954,1502.44184605214,38.970375573276,155.36090567285
TimePoint1,032L,16,0.251440972222222,0.193576388888889,0.0945486111111111,0.0113194444444444,0.449114583333333,1703.6875,81.4375,328.375
TimePoint1,033L,16,0.1746875,0.199774305555556,0.09734375,0.0260590277777778,0.502135416666667,646.375,37.375,211.6875
TimePoint1,034L,14.2352777777778,0.163853493863055,0.181083770757313,0.0429488555427635,0.0359630807657034,0.576150799071165,623.380880832049,36.8802076219096,221.351493745975
TimePoint1,035L,9.05861111111111,0.208242617521695,0.151451964061206,0.29572843519058,0.0203305633068596,0.324246419919659,1459.9368311306,32.3449142927233,94.7165067001932
TimePoint1,036L,14.6047222222222,0.0285105654563783,0.131844722977728,0.103048861669551,0.0982749110827929,0.63832093881355,112.292447267817,2.46495615953744,22.3215474447002
TimePoint1,037L,16,0.298697916666667,0.209635416666667,0.104722222222222,0.0171701388888889,0.369774305555556,1905.25,69.4375,335.1875
TimePoint1,038L,16,0.231388888888889,0.174392361111111,0.0319444444444444,0.0214583333333333,0.540815972222222,1624.0625,55.0625,205.6875
TimePoint1,039L,16,0.1415625,0.267048611111111,0.0749131944444444,0.0227777777777778,0.493697916666667,775,38.25,168.8125
TimePoint1,040L,16,0.270190972222222,0.279097222222222,0.0742708333333333,0.0825868055555556,0.293854166666667,1353.5625,40.8125,175.25
TimePoint1,041L,16,0.201111111111111,0.189045138888889,0.0732465277777778,0.0143229166666667,0.522274305555556,927.6875,34.375,150.0625
TimePoint1,042L,16,0.265520833333333,0.199791666666667,0.0275,0.0226736111111111,0.484513888888889,1426.875,48.25,207.6875
TimePoint1,043L,16,0.263697916666667,0.134583333333333,0.0963020833333333,0.269878472222222,0.235538194444444,1481.375,43.5625,248.0625
TimePoint1,044L,16,0.250954861111111,0.163142361111111,0.0415972222222222,0.0141145833333333,0.530190972222222,1173,57.8125,348.9375
TimePoint1,045L,12.5563888888889,0.142092339004048,0.1546578766896,0.245514678229321,0.0118354976439617,0.445899608433069,620.16237860319,23.8922195429507,132.920381390616
TimePoint1,046L,7.92472222222222,0.0792877422973115,0.536401556311122,0.187528479792492,0.030390129342073,0.166392092257002,511.942234217813,10.7259280030846,74.8291212450489
TimePoint1,049L,15.7866666666667,0.162760416666667,0.0880489864864865,0.16895411036036,0.0165927646396396,0.563643721846847,416.997466216216,35.3462837837838,237.415540540541
TimePoint1,051L,16,0.176180555555556,0.176493055555556,0.0841840277777778,0.0530729166666667,0.510069444444444,1068.125,65.9375,219.4375
TimePoint1,052L,16,0.232413194444444,0.18,0.0532118055555556,0.0203993055555556,0.513975694444444,883.5,56.5,290.5625
TimePoint1,053L,15.8058333333333,0.112159715997961,0.23895889351681,0.00502627370344985,0.0190154830319327,0.624839633749846,815.458427795645,33.5951916486529,122.992566035746
TimePoint1,055L,16,0.188038194444444,0.279548611111111,0.04109375,0.0105555555555556,0.480763888888889,921.4375,42.25,221.25
TimePoint1,056L,16,0.235607638888889,0.144270833333333,0.0890798611111111,0.108298611111111,0.422743055555556,1673.875,77.125,245.8125
TimePoint1,057L,14.8994444444444,0.190182333420336,0.153324135873821,0.012733509825124,0.443976285469257,0.199783735411462,1413.27417129647,35.0348633431522,109.735635184011
TimePoint1,058L,15.2530555555556,0.144524776456448,0.193950210340369,0.0644679572398973,0.0124383092640819,0.584618746699204,923.159294130502,49.1049152264574,157.804447196372
TimePoint1,059L,15.9208333333333,0.133176306377039,0.243775625926895,0.0922097182238507,0.0409840355927768,0.489854313879438,608.762104161214,18.6548024077467,120.157026956294
TimePoint1,060L,15.9380555555556,0.14443069522631,0.283353957160535,0.0683723443191523,0.0530177597295083,0.450825243564494,664.572912491068,19.4503023859735,151.524129877826
TimePoint1,061L,16,0.168333333333333,0.217986111111111,0.0303819444444444,0.0102604166666667,0.573038194444444,728.3125,53.625,279.125
TimePoint1,062L,16,0.2465625,0.186510416666667,0.0331597222222222,0.0253645833333333,0.508402777777778,1461.625,76,223.8125
TimePoint1,063L,16,0.189722222222222,0.111354166666667,0.0601388888888889,0.03,0.608784722222222,1623.5625,11.5625,31.25
TimePoint1,064L,15.5594444444444,0.199253757989074,0.0977969793265969,0.149319812903917,0.0336344485307245,0.519995001249688,1212.96104545292,52.7011104366765,208.747813046738
TimePoint1,065L,16,0.153697916666667,0.241145833333333,0.0417708333333333,0.260208333333333,0.303194444444444,1100.125,26.6875,90.6875
TimePoint1,067L,14.4977777777778,0.176866186388719,0.231376456161864,0.226011649294911,0.0114576946658492,0.354288013488657,724.524831391784,39.5232985898222,217.205702023299
TimePoint1,069L,16,0.136440972222222,0.2371875,0.00642361111111111,0.223368055555556,0.396579861111111,1155.625,16.9375,40.875
TimePoint1,071L,15.8941666666667,0.198011150142435,0.169366818714064,0.043429630018001,0.0216885999405792,0.567503801184921,1022.70224925287,56.5616316258585,221.150317202328
TimePoint1,072L,16,0.196996527777778,0.214444444444444,0.018125,0.0232638888888889,0.547170138888889,1049.4375,71.3125,301
TimePoint1,073L,15.9588888888889,0.219940123929541,0.235344287405138,0.0583095453596045,0.0207477546473578,0.465658288658358,1149.70410081459,57.0841746153311,277.086959548841
TimePoint1,074L,14.6552777777778,0.277431338728937,0.178869955836919,0.0580753994579124,0.00864307511514623,0.476980230861085,1307.51530544552,54.9290168502056,239.845334445308
TimePoint1,075L,16,0.191128472222222,0.164861111111111,0.26,0.0251388888888889,0.358871527777778,1500.75,63.25,191.0625
TimePoint1,076L,16,0.1440625,0.199791666666667,0.264097222222222,0.0127083333333333,0.379340277777778,953.4375,33.4375,89.875
TimePoint1,077L,16,0.216336805555556,0.136770833333333,0.119496527777778,0.182951388888889,0.344444444444444,1475,61.25,211.375
TimePoint1,078L,16,0.125815972222222,0.113524305555556,0.0446354166666667,0.0351736111111111,0.680850694444444,483.6875,38.0625,240.5
TimePoint1,079L,16,0.270052083333333,0.378836805555556,0.126059027777778,0.0238368055555556,0.201215277777778,2493.6875,70.9375,219.125
TimePoint1,080L,16,0.1703125,0.116788194444444,0.0921875,0.0296701388888889,0.591041666666667,1051.75,53.1875,168.625
TimePoint1,081L,16,0.114913194444444,0.0591319444444444,0.124114583333333,0.0113541666666667,0.690486111111111,758.5625,3,7.5625
TimePoint1,082L,15.8372222222222,0.189795488827306,0.24208089241239,0.0750166625741046,0.0234854597116498,0.46962149647455,1415.52601115515,45.209948433718,146.364050934858
TimePoint1,083L,16,0.176145833333333,0.350190972222222,0.0540104166666667,0.0364930555555556,0.383159722222222,954,37.9375,176.875
TimePoint1,084L,16,0.247777777777778,0.2659375,0.00640625,0.0162673611111111,0.463611111111111,1603.5,70.5,197.3125
TimePoint1,085L,16,0.146579861111111,0.273003472222222,0.131666666666667,0.0207118055555556,0.428038194444444,474.1875,18.1875,126
TimePoint1,086L,15.5177777777778,0.169930545610769,0.287483889445797,0.0428540741801518,0.2884326220822,0.211298868681083,1142.23829299728,44.0140340827724,143.126163540026
TimePoint1,087L,16,0.2528125,0.255694444444444,0.0225,0.0137152777777778,0.455277777777778,894.5,59.3125,344.6875
TimePoint1,088L,16,0.173645833333333,0.120659722222222,0.0280208333333333,0.00947916666666667,0.668194444444444,974.875,55.5,192.8125
TimePoint1,089L,13.9725,0.18635812409296,0.192024015427129,0.0851474125762907,0.0107552533746844,0.525715194528936,1829.02129182322,51.7444981213097,114.224369296833
TimePoint1,090L,15.9752777777778,0.22134895932952,0.294708838309193,0.0418876388864739,0.260384969831858,0.181669593642955,1661.25436872946,102.84641199075,265.097111856862
TimePoint1,092L,15.4683333333333,0.108124124555544,0.207305247279388,0.0734655029989584,0.0490248895593147,0.562080235606795,241.073160219804,15.1923284128865,104.2129080918
TimePoint1,093L,15.4625,0.206808587083446,0.182233000988054,0.105057037635857,0.17382556363963,0.332075810653014,1697.33225545675,76.8957154405821,184.834276475344
TimePoint1,094L,15.455,0.193123404867177,0.179895035766922,0.0843128796865452,0.194040044573852,0.348628635105503,1645.29278550631,59.2041410546749,149.983824005176
TimePoint1,095L,16,0.150815972222222,0.16078125,0.06546875,0.0482986111111111,0.574635416666667,543.8125,17.3125,113.6875
TimePoint1,096L,16,0.209097222222222,0.211319444444444,0.0597569444444444,0.0524305555555556,0.467395833333333,916.375,35.1875,182.1875
TimePoint1,097L,15.7158333333333,0.238312388426392,0.271099563426834,0.0974247485727416,0.0317443484101313,0.361418951163901,882.485815790869,39.323399968185,244.912243491171
